team,num_players,total_current_usage,total_adjusted_usage,current_team_bpm,optimal_team_bpm,bpm_improvement
Charlotte,12,218.90864405161787,100.0,-5.614546984285788,1.0950583811404722,6.70960536542626
UTSA,9,164.09753487253485,100.00000000000001,-9.417339376865286,-2.4188406838873,6.998498692977986
Detroit Mercy,12,222.6862258988476,99.99999999999997,-10.959338104311591,-0.28830958441825666,10.671028519893335
George Washington,9,174.61946688158022,100.00000000000001,2.3511028493596564,3.7066186862364807,1.3555158368768243
South Dakota St.,10,178.37936437764023,99.99999999999999,-3.0754153094011154,0.8039526247581079,3.879367934159223
Presbyterian,10,172.12623956442832,100.0,-7.551888266426722,-1.0143844041253605,6.537503862301362
West Virginia,8,159.91852687626775,99.99999999999997,4.106813267382597,4.801783633126505,0.6949703657439086
Texas Southern,11,208.84351915556266,100.0,-11.244221508643648,0.3372550479065046,11.581476556550152
Florida A&M,10,197.5845705430113,100.0,-12.488768225568135,-3.30154040489246,9.187227820675675
Northern Iowa,11,200.95975414118186,100.0,-1.5652659786720449,-6.02419682672778,-4.4589308480557355
Nicholls St.,9,176.33894283992797,100.00000000000001,-6.511949420348258,-0.23431056878032494,6.277638851567933
Indiana,10,180.40024314765697,100.0,4.0928871206778,4.909817407535897,0.8169302868580965
Vermont,11,190.9825890834025,100.0,-5.922942223330986,0.19773009160255772,6.120672314933543
Austin Peay,7,137.35972370957379,100.0,0.40159008435046695,5.775608957635438,5.374018873284971
Albany,11,202.92090729294904,100.0,-13.04951221775409,-9.823529674176271,3.2259825435778193
Robert Morris,11,202.3884522011174,100.00000000000003,-2.699447019219696,0.38018209217406895,3.079629111393765
Utah Tech,9,188.2057339878448,99.99999999999997,-4.298093714463151,0.049093576513646695,4.347187290976797
East Carolina,11,198.20410522226314,100.00000000000001,-8.778727391326555,-0.9723914575578283,7.806335933768727
Sam Houston St.,10,189.4184558273268,100.0,-1.1629848198672819,2.519130523023455,3.6821153428907367
Fresno St.,13,246.75907758347057,100.0,-8.312033700104054,0.7449269767839698,9.056960676888025
Southern Illinois,12,252.54521340018275,100.0,-21.435962414337883,3.9527173704062113,25.388679784744095
Buffalo,9,169.1384126984127,100.0,-2.447237211053879,2.055043743434056,4.502280954487935
California,10,181.01212376333342,100.0,1.630639759500974,3.898251478629952,2.2676117191289777
Providence,9,181.2464869593551,100.00000000000001,1.5997078961859281,3.781677102540435,2.181969206354507
Little Rock,8,150.60692897779106,99.99999999999999,-7.690522895607451,-1.5501380476446924,6.140384847962759
Georgia Tech,11,212.16377883929613,99.99999999999999,-5.793388410347324,0.8031379209094117,6.596526331256736
Valparaiso,11,209.88336482334873,100.00000000000001,-4.622741796907311,3.0177471144214785,7.64048891132879
St. Bonaventure,9,162.7613906926407,100.0,-1.220073937858043,1.8437383884886178,3.063812326346661
Stonehill,9,173.84389066987242,100.00000000000001,-9.5547825307458,-0.34662297352423044,9.20815955722157
LIU,11,195.97019682221728,100.0,-10.376906585350286,0.003959386247579723,10.380865971597865
Binghamton,8,159.48939389070972,100.0,-9.999019912033802,-4.240045885142734,5.758974026891068
Bellarmine,12,217.73143918150816,100.0,-10.935386059512114,-0.37684256148857737,10.558543498023536
Massachusetts,11,204.99097381864624,99.99999999999999,-5.805126605301696,2.7014732883671897,8.506599893668886
Florida Gulf Coast,11,200.42007834757834,100.0,-7.1495159365617065,2.8237768383331074,9.973292774894814
Houston,9,165.56987020887883,100.0,10.722683234313665,8.645837172496295,-2.0768460618173705
Xavier,8,153.5879734848485,100.0,0.5254038983425088,4.065334303942821,3.5399304056003125
Stony Brook,10,183.32416621793212,100.0,-7.244774870051248,0.02883439659307485,7.273609266644323
Kansas St.,11,217.53910756027514,99.99999999999999,-2.8745746590407935,2.20082456938511,5.075399228425903
Charleston,9,170.95732880588568,100.0,-0.2974228707485479,3.9327890806424812,4.230211951391029
Idaho St.,10,211.73725137431282,100.0,-6.396979199619013,1.9818613497808664,8.378840549399879
Rider,12,214.48387968818145,100.00000000000001,-15.34122614071078,-2.1731340425090027,13.168092098201779
Wichita St.,11,203.23685001273236,99.99999999999997,1.4585118139585787,5.992106369766951,4.533594555808373
Louisiana Tech,10,176.9862083698652,100.0,-2.9878878792085883,1.3110943070071355,4.298982186215724
Wagner,10,192.00822847717586,100.0,-7.66635843599629,0.12823643552914513,7.794594871525436
Incarnate Word,11,196.15593851066996,100.0,-13.546047321326158,1.0288637134105227,14.574911034736681
Utah,9,157.6739947163515,100.0,1.0927155616462831,3.2300471204969945,2.137331558850711
Auburn,8,155.9038320663618,100.0,5.4420915510609955,7.302595115406151,1.860503564345155
Lindenwood,7,134.97694581280788,99.99999999999997,-2.380117331374244,0.06266493960967251,2.4427822709839164
UT Rio Grande Valley,12,215.09769108533294,99.99999999999999,-3.3730512115089386,3.734102728781689,7.107153940290628
Idaho,10,177.5490754317367,100.0,-3.2551388768347724,2.982877880894435,6.238016757729207
Boston University,9,159.914414983165,100.0,-3.801483499207377,0.07534909307649117,3.876832592283868
Morehead St.,9,176.7996091954023,100.0,-5.7689057377286606,-0.3060658080620142,5.4628399296666466
