Name,Team,cluster,BPM,Height,Usage,AthleteSourceId
BJ Marable,UNC Asheville,16,-8.32674,81.0,11.8,4702141.0
Micah Schnyders,Eastern Illinois,4,-11.1671,76.0,14.8,4703230.0
Caden Boser,UMKC,14,-0.732881,80.0,14.5,4702638.0
William Dunn,Youngstown St.,12,-1.19255,80.0,17.0,4702992.0
Bakari LaStrap,IU Indy,5,-12.2963,72.0,27.8,4702710.0
Kenny White Jr.,Tennessee Tech,3,-1.95477,79.0,21.1,4703423.0
Carvell Teasett,Northwestern St.,1,-3.00201,73.0,24.7,4703672.0
Zion Styles,Maryland Eastern Shore,5,-5.5824,75.0,24.9,4704099.0
Daniel Batcho,Texas Tech,13,7.85027,83.0,12.8,4683631.0
Dalen Terry,Arizona,11,7.43036,79.0,15.1,4433159.0
Tibet Gorener,San Jose St.,17,-3.47667,81.0,15.9,4702371.0
Azuolas Tubelis,Arizona,2,6.40531,83.0,26.7,4702372.0
Max Klesmit,Wofford,11,1.34237,75.0,24.2,4703885.0
Sam Godwin,Wofford,8,0.965699,81.0,23.0,4703886.0
Kerr Kriisa,Arizona,1,2.12384,75.0,18.8,4683633.0
Keondre Montgomery,Alcorn St.,3,-2.56426,79.0,22.3,4432410.0
Lachlan Bofinger,UTSA,16,-2.71244,78.0,14.3,4703124.0
Kyler Filewich,Southern Illinois,8,-4.20351,81.0,22.4,4703923.0
Luke Kasubke,Kansas St.,10,-0.479205,77.0,11.2,4432443.0
RJ Davis,North Carolina,11,5.49344,72.0,20.3,4433176.0
Justin Powell,Tennessee,14,3.09663,78.0,13.3,4432250.0
