ncaa_id,year,rapm,off_rapm,def_rapm,base_bpm,win_rate,games_played,total_minutes
3911886,2019,-2.61,-2.32,0.21,-1.73,0.577,26,221.0
3911888,2019,1.72,0.28,1.46,1.27,0.6,35,1115.0
3911889,2019,7.11,4.32,2.83,6.64,0.611,36,1121.0
3911891,2019,0.85,-0.03,0.96,0.42,0.625,16,193.0
3911892,2019,3.15,2.57,0.56,3.03,0.514,35,1216.0
3911894,2019,-6.54,-3.6,-2.34,-4.64,0.419,31,899.0
3911895,2019,6.17,4.5,1.65,5.34,0.657,35,876.0
3911896,2019,2.09,-0.16,2.49,1.7,0.697,33,490.0
3913246,2019,6.31,3.78,2.64,7.06,0.406,32,1051.0
3913247,2019,-2.83,-6.65,4.18,-2.93,0.7,10,76.0
3913248,2019,-0.94,-1.99,0.94,0.41,0.176,17,265.0
3912274,2019,-6.89,-7.81,1.0,-6.32,0.429,14,115.0
4396009,2019,3.22,2.52,1.19,2.72,0.844,32,821.0
3912278,2019,6.98,2.3,4.68,7.29,0.438,32,1054.0
3912279,2019,4.79,1.07,3.62,4.98,0.407,27,561.0
3906675,2019,7.3,5.84,1.43,6.1,0.722,36,1219.0
3906670,2019,8.86,5.39,3.43,7.67,0.722,36,916.0
3906672,2019,-2.88,-2.6,0.28,-1.24,0.452,31,822.0
3908320,2019,4.98,2.09,2.78,3.83,0.676,34,669.0
3908321,2019,0.36,-2.44,2.7,-0.67,0.655,29,148.0
3908322,2019,5.7,1.2,4.37,4.54,0.667,33,811.0
3907524,2019,0.3,-0.56,1.21,0.6,0.618,34,1118.0
3948149,2019,-4.08,-3.85,0.37,-2.42,0.469,32,735.0
3917377,2019,-13.86,-10.01,-3.4,-11.17,0.188,16,108.5
3915562,2019,-6.93,-6.8,0.26,-5.51,0.414,29,519.0
3914284,2019,-4.45,-2.66,-1.46,-3.5,0.478,23,431.0
